MAL_ID,English name,Rating,Ranked,Episodes
1,Cowboy Bebop,8,28,26
5,Cowboy Bebop:The Movie,8,159,1
6,Trigun,8,266,26
7,Witch Hunter Robin,8,2481,26
8,Beet the Vandel Buster,8,3710,52
15,Unknown,8,604,145
16,Honey and Clover,8,468,26
17,Unknown,7,1317,52
18,Unknown,8,360,26
19,Monster,7,30,74
20,Naruto,8,660,220
21,One Piece,7,95,1500
22,The Prince of Tennis,8,675,178
23,Unknown,8,6493,26
24,School Rumble,8,625,26
25,Desert Punk,8,1844,26
26,Texhnolyze,8,896,26
27,Trinity Blood,7,2240,26
28,Yakitate!! Japan,7,609,69
29,Unknown,7,1565,26
30,Neon Genesis Evangelion,8,208,26
31,Neon Genesis Evangelion:Death & Rebirth,8,1742,26
32,Neon Genesis Evangelion:The End of Evangelion,8,102,1
33,Berserk,7,108,26
43,Ghost in the Shell,8,236,1
44,Samurai X:Trust and Betrayal,8,37,26
45,Rurouni Kenshin,8,220,94
46,Samurai X:The Motion Picture,8,1397,1
47,AKIRA,8,333,1
48,.hack//Sign,8,3687,26
49,Oh! My Goddess,7,2226,5
50,Ah! My Goddess,8,2116,26
51,Angel Sanctuary,8,6823,26
52,Battle Doll Angelic Layer,8,2529,26
53,Ai Yori Aoshi,7,3012,26
54,Unknown,8,3206,1
55,Unknown,7,5738,26
56,Unknown,8,8501,26
57,Beck:Mongolian Chop Squad,8,221,26
58,Blue Gender,8,3455,26
59,Chobits,8,1804,26
60,Chrono Crusade,8,1120,26
61,D.N.Angel,8,2761,26
62,D.C.~Da Capo~,8,4589,26
63,DearS,8,5274,12
64,Rozen Maiden,8,1782,12
65,Rozen Maiden:Träumend,8,1146,26
66,Azumanga Daioh:The Animation,8,555,26
67,Basilisk,8,1325,26
68,Black Cat,8,1965,26
69,Unknown,8,6646,26
71,Full Metal Panic!,8,1146,26
72,Full Metal Panic? Fumoffu,8,452,12
73,Full Metal Panic! The Second Raid,8,579,13
74,Gakuen Alice,7,1158,26
75,Fafner of the Blue Sky,8,2348,26
76,Magical Girl Lyrical Nanoha,7,1828,13
77,Magical Girl Lyrical Nanoha A's,8,551,13
79,Shuffle!,7,3231,26
80,Mobile Suit Gundam,8,867,43
81,Mobile Suit Gundam:The 08th MS Team,8,511,12
82,Mobile Suit Gundam 0080:War in the Pocket,8,677,26
83,Unknown,8,4498,1
84,Mobile Suit Gundam 0083:Stardust Memory,8,2361,13
85,Mobile Suit Zeta Gundam,7,655,50
86,Mobile Suit Gundam ZZ,7,5111,47
87,Mobile Suit Gundam:Char's Counterattack,7,1084,26
88,Mobile Suit Gundam F91,8,5049,1
89,Mobile Suit V Gundam,8,4632,51
90,Mobile Suit Gundam Wing,8,984,49
91,Mobile Suit Gundam Wing:Endless Waltz,7,897,26
92,After War Gundam X,8,2228,39
93,Mobile Suit Gundam SEED,8,850,26
94,Unknown,8,2687,26
95,∀ Gundam,8,1018,26
96,Mobile Fighter G Gundam,8,1396,26
97,Last Exile,8,795,26
98,My-Hime,7,1698,26
99,My-Otome,8,2308,26
100,Prétear:The New Legend of Snow White,8,2785,13
101,Air,8,2230,12
102,Unknown,7,1634,26
103,Red Riding Hood Chacha,8,1941,74
104,"Ceres, Celestial Legend",7,2641,26
105,Boys Be...,8,6088,13
106,Hana Yori Dango,8,1027,51
107,Jing:King of Bandits,8,2625,26
108,Jing:King of Bandits - Seventh Heaven,8,2367,3
109,Burst Angel,8,4381,26
110,Unknown,8,1195,52
111,Corrector Yui,8,4318,26
112,The Cosmopolitan Prayers,8,10648,26
113,Stellvia,8,1980,26
114,Cromartie High School,8,631,26
115,Unknown,8,4315,13
116,El-Hazard:The Wanderers,8,3735,26
117,Unknown,8,2240,7
118,Unknown,8,4239,26
119,Unknown,8,5567,13
120,Fruits Basket,8,1058,26
121,Fullmetal Alchemist,8,337,51
122,Searching for the Full Moon,7,585,26
123,Mysterious Play,8,1172,52
124,Mysterious Play:Eikoden,7,4189,26
125,Twin Love,8,5946,13
126,Unknown,7,3968,26
127,Unknown,8,3767,26
128,Unknown,8,4489,26
129,Saiyuki,8,1315,50
130,Saiyuki Reload,8,1858,26
131,Saiyuki Gunlock,8,1840,26
132,Getbackers,7,1249,49
133,Green Green,7,7303,26
134,Gunslinger Girl,7,1821,26
135,Hikaru no Go,8,400,75
136,Hunter x Hunter,8,143,26
137,Unknown,8,205,8
138,Unknown,7,299,26
139,Unknown,8,230,14
141,Jinki:Extend,8,7618,26
142,Unknown,8,1746,26
143,Destiny of the Shrine Maiden,8,4169,12
144,Unknown,8,3174,26
145,His and Her Circumstances,8,1254,26
146,This Ugly Yet Beautiful World,7,4625,12
147,Rumbling Hearts,8,2604,26
148,Diamond Daydreams,8,5305,12
149,Loveless,8,4203,26
150,Blood+,7,1116,50
151,Unknown,8,3130,26
152,Unknown,7,2447,26
153,The Twelve Kingdoms,8,464,45
154,Shaman King,8,853,26
155,X - The Movie,8,5420,26
156,X,8,1804,26
157,Negima!,8,3708,26
158,Maria Watches Over Us,8,2178,13
159,The Melody of Oblivion,8,6657,26
160,"Now and Then, Here and There",8,1140,13
161,Peace Maker Kurogane,8,2186,26
162,Pita-Ten,8,3863,26
163,Unknown,8,6015,26
164,Princess Mononoke,8,40,1
165,RahXephon,8,1820,26
166,Samurai 7,8,1646,26
167,Scrapped Princess,8,1861,26
168,s-CRY-ed,8,1969,26
169,Lunar Legend Tsukihime,8,3970,12
170,Slam Dunk,7,92,101
171,Unknown,8,6634,26
173,Unknown,7,2668,26
174,Tenjho Tenge,8,3911,26
175,Tokyo Underground,7,5230,26
176,Unknown,8,7381,26
